,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
1,Male,Yes,1,Graduate,No,Rural,N,4583.0,1508.0,128.0,360.0,1.0
2,Male,Yes,0,Graduate,Yes,Urban,Y,3000.0,0.0,66.0,360.0,1.0
3,Male,Yes,0,Not Graduate,No,Urban,Y,2583.0,2358.0,120.0,360.0,1.0
4,Male,No,0,Graduate,No,Urban,Y,6000.0,0.0,141.0,360.0,1.0
5,Male,Yes,2,Graduate,Yes,Urban,Y,5417.0,4196.0,267.0,360.0,1.0
6,Male,Yes,0,Not Graduate,No,Urban,Y,2333.0,1516.0,95.0,360.0,1.0
7,Male,Yes,3+,Graduate,No,Semiurban,N,3036.0,2504.0,158.0,360.0,0.0
8,Male,Yes,2,Graduate,No,Urban,Y,4006.0,1526.0,168.0,360.0,1.0
9,Male,Yes,1,Graduate,No,Semiurban,N,12841.0,10968.0,349.0,360.0,1.0
10,Male,Yes,2,Graduate,No,Urban,Y,3200.0,700.0,70.0,360.0,1.0
11,Male,Yes,2,Graduate,No,Urban,Y,2500.0,1840.0,109.0,360.0,1.0
12,Male,Yes,2,Graduate,No,Urban,Y,3073.0,8106.0,200.0,360.0,1.0
13,Male,No,0,Graduate,No,Rural,N,1853.0,2840.0,114.0,360.0,1.0
14,Male,Yes,2,Graduate,No,Urban,Y,1299.0,1086.0,17.0,120.0,1.0
15,Male,No,0,Graduate,No,Urban,Y,4950.0,0.0,125.0,360.0,1.0
16,Male,No,1,Not Graduate,No,Urban,Y,3596.0,0.0,100.0,240.0,0.8434622467771639
17,Female,No,0,Graduate,No,Urban,N,3510.0,0.0,76.0,360.0,0.0
18,Male,Yes,0,Not Graduate,No,Rural,N,4887.0,0.0,133.0,360.0,1.0
19,Male,Yes,0,Graduate,No,Urban,Y,2600.0,3500.0,115.0,342.1453287197232,1.0
20,Male,Yes,0,Not Graduate,No,Urban,N,7660.0,0.0,104.0,360.0,0.0
21,Male,Yes,1,Graduate,No,Urban,Y,5955.0,5625.0,315.0,360.0,1.0
22,Male,Yes,0,Not Graduate,No,Semiurban,N,2600.0,1911.0,116.0,360.0,0.0
23,Male,Yes,2,Not Graduate,No,Rural,N,3365.0,1917.0,112.0,360.0,0.0
24,Male,Yes,1,Graduate,No,Semiurban,N,3717.0,2925.0,151.0,360.0,0.8434622467771639
25,Male,Yes,0,Graduate,Yes,Semiurban,Y,9560.0,0.0,191.0,360.0,1.0
26,Male,Yes,0,Graduate,No,Semiurban,Y,2799.0,2253.0,122.0,360.0,1.0
27,Male,Yes,2,Not Graduate,No,Urban,Y,4226.0,1040.0,110.0,360.0,1.0
28,Male,No,0,Not Graduate,No,Urban,N,1442.0,0.0,35.0,360.0,1.0
29,Female,No,2,Graduate,No,Semiurban,Y,3750.0,2083.0,120.0,360.0,1.0
30,Male,Yes,1,Graduate,No,Urban,N,4166.0,3369.0,201.0,360.0,0.8434622467771639
31,Male,No,0,Graduate,No,Urban,N,3167.0,0.0,74.0,360.0,1.0
32,Male,No,1,Graduate,Yes,Rural,N,4692.0,0.0,106.0,360.0,1.0
33,Male,Yes,0,Graduate,No,Semiurban,Y,3500.0,1667.0,114.0,360.0,1.0
34,Male,No,3+,Graduate,No,Rural,N,12500.0,3000.0,320.0,360.0,1.0
36,Male,Yes,0,Graduate,No,Urban,N,1828.0,1330.0,100.0,342.1453287197232,0.0
37,Female,Yes,0,Graduate,No,Semiurban,Y,3667.0,1459.0,144.0,360.0,1.0
38,Male,No,0,Graduate,No,Urban,Y,4166.0,7210.0,184.0,360.0,1.0
39,Male,No,0,Not Graduate,No,Semiurban,Y,3748.0,1668.0,110.0,360.0,1.0
40,Male,No,0,Graduate,No,Urban,N,3600.0,0.0,80.0,360.0,1.0
41,Male,No,0,Graduate,No,Urban,Y,1800.0,1213.0,47.0,360.0,1.0
42,Male,Yes,0,Graduate,No,Urban,Y,2400.0,0.0,75.0,360.0,0.8434622467771639
43,Male,Yes,0,Graduate,No,Semiurban,Y,3941.0,2336.0,134.0,360.0,1.0
44,Male,Yes,0,Not Graduate,Yes,Urban,Y,4695.0,0.0,96.0,342.1453287197232,1.0
45,Female,No,0,Graduate,No,Urban,Y,3410.0,0.0,88.0,342.1453287197232,1.0
46,Male,Yes,1,Graduate,No,Urban,Y,5649.0,0.0,44.0,360.0,1.0
47,Male,Yes,0,Graduate,No,Urban,Y,5821.0,0.0,144.0,360.0,1.0
48,Female,Yes,0,Graduate,No,Urban,N,2645.0,3440.0,120.0,360.0,0.0
49,Female,No,0,Graduate,No,Semiurban,Y,4000.0,2275.0,144.0,360.0,1.0
50,Female,Yes,0,Not Graduate,No,Semiurban,Y,1928.0,1644.0,100.0,360.0,1.0
51,Female,No,0,Graduate,No,Semiurban,Y,3086.0,0.0,120.0,360.0,1.0
52,Female,No,0,Graduate,No,Semiurban,N,4230.0,0.0,112.0,360.0,1.0
53,Male,Yes,2,Graduate,No,Urban,N,4616.0,0.0,134.0,360.0,1.0
54,Female,Yes,1,Graduate,Yes,Urban,N,11500.0,0.0,286.0,360.0,0.0
55,Male,Yes,2,Graduate,No,Semiurban,Y,2708.0,1167.0,97.0,360.0,1.0
56,Male,Yes,0,Graduate,No,Semiurban,Y,2132.0,1591.0,96.0,360.0,1.0
57,Male,Yes,0,Graduate,No,Rural,N,3366.0,2200.0,135.0,360.0,1.0
58,Male,Yes,1,Graduate,No,Urban,Y,8080.0,2250.0,180.0,360.0,1.0
59,Male,Yes,2,Not Graduate,No,Urban,Y,3357.0,2859.0,144.0,360.0,1.0
60,Male,Yes,0,Graduate,No,Urban,Y,2500.0,3796.0,120.0,360.0,1.0
61,Male,Yes,3+,Graduate,No,Urban,Y,3029.0,0.0,99.0,360.0,1.0
62,Male,Yes,0,Not Graduate,Yes,Rural,N,2609.0,3449.0,165.0,180.0,0.0
64,Female,No,0,Graduate,No,Semiurban,N,4166.0,0.0,116.0,360.0,0.0
65,Male,Yes,0,Graduate,No,Semiurban,N,5726.0,4595.0,258.0,360.0,1.0
66,Male,No,0,Not Graduate,No,Urban,N,3200.0,2254.0,126.0,180.0,0.0
67,Male,Yes,1,Graduate,No,Urban,Y,10750.0,0.0,312.0,360.0,1.0
68,Male,Yes,3+,Not Graduate,Yes,Urban,Y,7100.0,0.0,125.0,60.0,1.0
69,Female,No,0,Graduate,No,Semiurban,N,4300.0,0.0,136.0,360.0,0.0
70,Male,Yes,0,Graduate,No,Urban,Y,3208.0,3066.0,172.0,360.0,1.0
71,Male,Yes,2,Not Graduate,Yes,Semiurban,Y,1875.0,1875.0,97.0,360.0,1.0
72,Male,No,0,Graduate,No,Semiurban,Y,3500.0,0.0,81.0,300.0,1.0
73,Male,Yes,3+,Not Graduate,No,Semiurban,N,4755.0,0.0,95.0,342.1453287197232,0.0
74,Male,Yes,3+,Graduate,Yes,Semiurban,Y,5266.0,1774.0,187.0,360.0,1.0
75,Male,No,0,Graduate,No,Urban,N,3750.0,0.0,113.0,480.0,1.0
